S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Cyper Pharma,Aminophylline I.P (100 mg),Tablet    ,1 Tablet,Aminophylline-100 mg,10 Tablet,0.93,0.09
2,Shalina Laboratories Ltd,Aminophylline (100 mg),Tablet    ,1 Tablet,Aminophylline-100 mg,10 Tablet,1,0.1
3,Densa Pharmaceuticals Pvt.Ltd.,Aminophylline (100 mg) (Densa Pharma),Tablet    ,1 Tablet,Aminophylline-100 mg,1000 Tablet,160,0.16
4,Acichem Laboratories,Aminophylline (100 mg) (Acichem Laboratories),Tablet    ,1 Tablet,Aminophylline-100 mg,1000 Tablet,200,0.2
1,Wings Pharmaceuticals (P) Ltd.,Vit C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,6,0.6
2,Wings Pharmaceuticals (P) Ltd.,Vitamin C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,6,0.6
3,Glaxo Smithkline Pharmaceuticals Ltd.,Celin (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,25 Tablet,17.45,0.7
4,Jan Aushadhi,Vitamin C Chewable 500 mg (Jan Aushadhi),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,7.3,0.73
5,Abbott Healthcare Pvt Ltd (AHPL),Cell C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,8.04,0.8
6,Abbott Healthcare Pvt Ltd (AHPL),Redoxon (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,8.16,0.82
7,Wyeth Ltd.,Chewcee (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,10.36,1.04
8,Ind-Swift Limited,Swicee (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,11.5,1.15
9,Glaxo Smithkline Pharmaceuticals Ltd.,Celin Chewable (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,20 Tablet,23.72,1.19
10,Modern Laboratories,Ascorbic Acid (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,12,1.2
11,East African (I) Remedies (P) Ltd.,Vitriv C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,15,1.5
