Num,S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,1,Modi Mundi Pharma Ltd.,Phyllocontin (225 mg),Tablet    ,1 Tablet,Aminophylline-225 mg,10 Tablet,44.8,4.48
2,2,Cyper Pharma,Aminophylline I.P (100 mg),Tablet    ,1 Tablet,Aminophylline-100 mg,10 Tablet,0.93,0.09
3,3,Shalina Laboratories Ltd,Aminophylline (100 mg),Tablet    ,1 Tablet,Aminophylline-100 mg,10 Tablet,1,0.1
4,4,Densa Pharmaceuticals Pvt.Ltd.,Aminophylline (100 mg) (Densa Pharma),Tablet    ,1 Tablet,Aminophylline-100 mg,1000 Tablet,160,0.16
5,4,Acichem Laboratories,Aminophylline (100 mg) (Acichem Laboratories),Tablet    ,1 Tablet,Aminophylline-100 mg,1000 Tablet,200,0.2
6,1,Zencure Organics,Bxicom -LB,Tablet    ,1 Tablet,Cefadroxil-100 mg,10 Tablet,120,12
7,2,Protec (Cipla Ltd),Cefadur susp (10 ml),Suspension    ,5 ml,Cefadroxil-100 mg,10 ml,20.11,10.06
8,3,Cipla Limited,Cefadur Rediuse (10 ml),Drop    ,1 ml,Cefadroxil-100 mg,10 ml,14.13,1.41
9,4,Protec (Cipla Ltd),Cefadur (10 ml),Drop    ,1 ml,Cefadroxil-100 mg,10 ml,14.13,1.41
10,5,Indoco Remedies Ltd,Vepan (10 ml),Drop    ,1 ml,Cefadroxil-100 mg,10 ml,14.14,1.41
11,6,FDC Limited,Zadro (10 ml),Drop    ,1 ml,Cefadroxil-100 mg,10 ml,14.15,1.42
12,7,Rhombus Pharma Private Limited,Kidoxyl DPS (10 ml),Drop    ,1 ml,Cefadroxil-100 mg,10 ml,16,1.6
13,8,Newgen (Cadila Pharmaceuticals Ltd.),Kidrox DPS (10 ml),Drop    ,1 ml,Cefadroxil-100 mg,10 ml,35,3.5
14,9,Gold Cross (Blue Cross Laboratories Ltd.),Bludrox P (10 ml),Drop    ,10 ml,Cefadroxil-100 mg,10 ml,13.55,13.55
15,1,Wings Pharmaceuticals (P) Ltd.,Vit C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,6,0.6
16,2,Wings Pharmaceuticals (P) Ltd.,Vitamin C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,6,0.6
17,3,Glaxo Smithkline Pharmaceuticals Ltd.,Celin (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,25 Tablet,17.45,0.7
18,4,Jan Aushadhi,Vitamin C Chewable 500 mg (Jan Aushadhi),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,7.3,0.73
19,5,Abbott Healthcare Pvt Ltd (AHPL),Cell C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,8.04,0.8
20,6,Abbott Healthcare Pvt Ltd (AHPL),Redoxon (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,8.16,0.82
21,7,Wyeth Ltd.,Chewcee (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,10.36,1.04
22,8,Ind-Swift Limited,Swicee (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,11.5,1.15
23,9,Glaxo Smithkline Pharmaceuticals Ltd.,Celin Chewable (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,20 Tablet,23.72,1.19
24,10,Modern Laboratories,Ascorbic Acid (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,12,1.2
25,11,East African (I) Remedies (P) Ltd.,Vitriv C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,15,1.5
26,1,Gracure Pharmaceuticals Ltd.,Ascorbic Acid (100 mg) (Gracure Pharma),Tablet    ,1 Tablet,Ascorbic Acid-100 mg,10 Tablet,1.69,0.17
27,2,Glaxo Smithkline Pharmaceuticals Ltd.,Celin (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,1000 Tablet,169.16,0.17
28,3,Abbott Healthcare Pvt Ltd (AHPL),Cell C (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,10 Tablet,1.71,0.17
29,4,Acichem Laboratories,Vitamin C (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,1000 Tablet,350,0.35
30,5,Modern Laboratories,Ascorbic Acid (100 mg),Tablet    ,1 Tablet,Ascorbic Acid-100 mg,10 Tablet,4,0.4
31,6,Sunways India Pvt. Ltd.,Ascorbin (30 ml),Drop    ,1 ml,Vit C-100 mg,30 ml,3.25,0.11
32,7,Pfizer Limited (Pharmacia India Pvt Ltd),Cecon (30 ml),Drop    ,1 ml,Ascorbic Acid-100 mg,30 ml,12.52,0.42
33,8,Abbott India Ltd.,Cecon (15 ml),Drop    ,1 ml,Vit C-100 mg,15 ml,12.73,0.85
34,9,Stanmark Pharmaceuticals,Pedivit C (15 ml),Drop    ,1 ml,Ascorbic Acid-100 mg,15 ml,22,1.47
35,10,SPM Drugs Pvt. Ltd.,Malano (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,2.65,0.53
36,11,Shalina Laboratories Ltd,Cevite (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,5,1
37,12,Tablets (India) Limited,Tildoxon (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,6.4,1.28
38,1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
39,2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
40,3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
41,4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
42,5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
43,6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
44,7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
45,8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
46,9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
47,10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
48,11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
49,12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
50,13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
51,1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
52,2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
53,3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
54,4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
55,5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
56,6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
57,7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
58,8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
59,9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
60,10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
61,11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
62,12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
63,13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
64,1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
65,2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
66,3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
67,4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
68,5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
69,6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
70,7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
71,8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
72,9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
73,10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
74,11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
75,12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
76,13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
77,1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
78,2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
79,3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
80,4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
81,5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
82,6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
83,7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
84,8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
85,9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
86,10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
87,11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
88,12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
89,13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
90,1,Cosme Farma Laboratories Ltd (CFL Pharmaceuticals Ltd),Mazoral (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.75,0.18
91,2,Aronex Life Sciences Pvt. Ltd.,CV Sprin (75 mg) (Aronex),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.94,0.19
92,3,Cadila Pharmaceuticals Ltd.,Cv Sprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.94,0.19
93,4,Intas Pharmaceuticals Ltd.,Sprintas (75 mg),Tablet    ,1 Tablet,Acetyl Salicylic Acid-75 mg,28 Tablet,5.72,0.2
94,5,Comed Chemicals Pvt Ltd,Asicom (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,140 Tablet,30,0.21
95,6,Unisearch (Unichem Laboratories),Loprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.62,0.26
96,7,Cardicare (Micro Labs Ltd),Ascad (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.68,0.26
97,8,Aristo Pharmaceuticals Pvt Ltd.,Delisprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.77,0.27
98,9,USV Limited,Ecospirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.78,0.27
99,10,Three Dots Lifesciences,Aspidot (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,2.73,0.27
100,11,Zydus Medica (Zydus Cadila Healthcare Ltd),ASA (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.86,0.28
101,12,Alkem Laboratories Ltd,Sprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.91,0.28
102,13,USV-Corvette (US Vitamins Ltd),Ecosprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,4.12,0.29
103,14,Low Cost Standard Therapeutics (LOCOST),Aspirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,3,0.3
104,15,Emcure Pharmaceuticals Ltd.,Nusprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,3.91,0.39
105,16,Astra Zeneca Pharma India Limited,LDA (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7,0.5
106,17,Astra Zeneca Pharma India Limited,Low Dose Aspirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7.4,0.53
107,18,Astra Zeneca Pharma India Limited,Dispersible (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7.81,0.56
108,19,Shreya Life Sciences Pvt. Ltd,Optaz (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,8.47,0.61
109,20,Medley Pharmaceuticals Ltd.,Zosprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,6.5,0.65
110,21,Maitri Healthcare Pvt. Ltd.,M Spirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,100 Tablet,67,0.67
111,22,Lincoln Pharmaceuticals Ltd,Alpyrin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,8.5,0.85
112,23,Mano (Orchid Chemicals & Pharmaceuticals Ltd.),Manospirin ER (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,13.3,1.33
113,24,Torrent Pharmaceuticals Ltd.,Vasoprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,42.5,4.25
114,1,Morepen Laboratories Ltd.,Tinyspirin (80 mg),Tablet    ,1 Tablet,Aspirin-80 mg,10 Tablet,2,0.2
115,2,Concept Pharmaceuticals Ltd.,Aspicot (80 mg),Tablet    ,1 Tablet,Aspirin-80 mg,14 Tablet,7.7,0.55
116,1,Emcure Pharmaceuticals Ltd.,Nusprin (100 mg),Tablet    ,1 Tablet,Aspirin-100 mg,10 Tablet,1.44,0.14
117,2,Lincoln Pharmaceuticals Ltd,Alpyrin (100 mg),Tablet    ,1 Tablet,Aspirin-100 mg,10 Tablet,6.07,0.61
118,3,Cipla Limited,Aspin (100 mg),Tablet    ,1 Tablet,Acetyl Salicylic Acid-100 mg,30 Tablet,21.15,0.71
119,4,Mano (Orchid Chemicals & Pharmaceuticals Ltd.),Manospirin (100 mg),Tablet    ,1 Tablet,Aspirin-100 mg,10 Tablet,9.9,0.99
120,5,Reckitt & Benckiser (India) Ltd.,Colsprin (100 mg),Tablet    ,1 Tablet,Aspirin-100 mg,14 Tablet,25.2,1.8
121,1,Merck (India) Ltd (Merck Ltd),Evion (100 mg),Capsule    ,1 Capsule,Vit E-100 mg,10 Capsule,6.92,0.69
122,2,USV-Corvette (US Vitamins Ltd),Covita (100 mg),Capsule    ,1 Capsule,Vit E-100 mg,10 Capsule,16.62,1.66
123,1,Shalina Laboratories Ltd,Aspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,10 Tablet,4,0.4
124,2,Natco Pharma Ltd,Cotaspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,30 Tablet,14.99,0.5
125,3,Natco Pharma Ltd,Otaspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,30 Tablet,14.99,0.5
