S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Unichem Laboratories Ltd.,Antoicox-Z (750+450+300),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-300 mg+Rifampicin-450 mg,,11.68,3.89
,,,,,,,,
,,,,,,,,
2,Alkem Laboratories Ltd,Coxter 3 (450+300+750),Tablet    ,1 Tablet,Isoniazid-300 mg+Pyrazinamide-750 mg+Rifampicin-450 mg,,11.78,3.93
,,,,,,,,
,,,,,,,,
3,Medispan Limited.,Triantibin (Kit),Kit   ,1 Kit,Pyrazinamide-750 mg+Isoniazid-300 mg+Rifampicin-450 mg,,7.6,7.6
,,,,,,,,
,,,,,,,,
4,Sandoz (Novartis India Ltd),Rimactazid +Z (750+300+450),Kit   ,1 Kit,Rifampicin-450 mg+Isoniazid-300 mg+Pyrazinamide-750 mg,,11.34,11.34
,,,,,,,,
,,,,,,,,
5,Glaxo Smithkline Pharmaceuticals Ltd.,Zucox (Kit),Kit   ,1 Kit,Pyrazinamide-750 mg+Isoniazid-300 mg+Rifampicin-450 mg,,16.27,16.27
,,,,,,,,
,,,,,,,,
