S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Merind Ltd (Wockhardt Ltd),Cavitar-RHE (800+450+300),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,29.9,2.99
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
2,Marc Laboratories Pvt. Ltd.,Coxwin 3 (800+450+300),Tablet    ,1 Tablet,Ethambutol-800 mg,2 Tablet,7.11,3.56
,,,,,Rifampicin-450 mg,,,
,,,,,Isoniazid-300 mg,,,
3,Wockhardt Ltd.,Wokex 3 (800+450+300),Tablet    ,1 Tablet,Isoniazid-300 mg,2 Tablet,7.37,3.69
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
4,Biological Evans Ltd,Binex E (800+450+300),Tablet    ,1 Tablet,Rifampicin-450 mg,2 Tablet,9.07,4.54
,,,,,Isoniazid-300 mg,,,
,,,,,Ethambutol-800 mg,,,
5,Geneka Biotec,Cure 3 (800+450+300),Tablet    ,1 Tablet,Ethambutol-800 mg,10 Tablet,69,6.9
,,,,,Rifampicin-450 mg,,,
,,,,,Isoniazid-300 mg,,,
6,Themis Medicare Ltd.,Thre (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg,4 Tablet,28.33,7.08
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
7,Overseas Health Care Pvt. Ltd.,Bicox E (800+450+300),Tablet    ,1 Tablet,Ethambutol-800 mg,6 Tablet,42.85,7.14
,,,,,Isoniazid-300 mg,,,
,,,,,Rifampicin-450 mg,,,
8,Lupin Laboratories Ltd.,Rcinex E (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,75.3,7.53
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
9,East African (I) Remedies Pvt Ltd,Rufanex 3 (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,75.4,7.54
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
10,Cadila Pharmaceuticals Ltd.,Mycocox E (300+450+800),Tablet    ,1 Tablet,Ethambutol-800 mg,6 Tablet,47.09,7.85
,,,,,Rifampicin-450 mg,,,
,,,,,Isoniazid-300 mg,,,
11,Stanford Biotech Pvt. Ltd,Stanex E (800+450+300),Tablet    ,1 Tablet,Isoniazid-300 mg,30 Tablet,239.5,7.98
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
12,Lupin Laboratories Ltd.,R Cinex E (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg,6 Tablet,52.3,8.72
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
13,Medicamen Biotech Ltd.,Klinik 3 (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg,30 Tablet,270,9
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
14,Indilina Pharmaceuticals,Mycotube (300+450+800),Tablet    ,1 Tablet,Rifampicin-450 mg,6 Tablet,58.56,9.76
,,,,,Isoniazid-300 mg,,,
,,,,,Ethambutol-800 mg,,,
15,Alpic Remedies Ltd.,Coxbact E (800+450+300),Tablet    ,1 Tablet,Isoniazid-300 mg,40 Tablet,395,9.88
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
16,Sunij Pharma Pvt Ltd,RF HE (Kit),Kit   ,1 kit,Isoniazid-300 mg,1 kit,7.62,7.62
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
17,East African (I) Remedies Pvt Ltd,Tubiriv 3 (Kit),Kit   ,1 Kit,Rifampicin-450 mg,1 Kit,7.67,7.67
,,,,,Isoniazid-300 mg,,,
,,,,,Ethambutol-800 mg,,,
18,Novartis India Ltd,Rimactazid +E (Kit),Kit   ,1 Kit,Isoniazid-300 mg,1 Kit,8.32,8.32
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
19,Lark Laboratories (India) Ltd.,Afb 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg,1 Kit,8.95,8.95
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
20,Cipla Limited,Coxkit 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg,1 Kit,9.03,9.03
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
21,Sunij Pharma Pvt Ltd,Re He (Kit),Kit   ,1 Kit,Isoniazid-300 mg,1 Kit,9.04,9.04
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
22,Glaxo Smithkline Pharmaceuticals Ltd.,Zucox 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg,1 Kit,9.08,9.08
,,,,,Rifampicin-450 mg,,,
,,,,,Ethambutol-800 mg,,,
23,Lupin Laboratories Ltd.,Akt 3 (Kit),Kit   ,1 Kit,Rifampicin-450 mg,1 Kit,9.15,9.15
,,,,,Isoniazid-300 mg,,,
,,,,,Ethambutol-800 mg,,,
24,Unichem Laboratories Ltd.,Anticox 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg,1 Kit,9.24,9.24
,,,,,Rifampicin-450 mg,,,
