S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Jan Aushadhi,Dextrose 5% (Jan Aushadhi),Infusion   ,5 ml,Dextrose-5% ,500 ml,19.61,0.2
2,Albert David Limited,Dextrose (5%) (1000 ml),Infusion   ,100 ml,Dextrose Anhydrous-5%,1000 ml,27,2.7
3,Parenteral Drugs (India) Ltd.,Dextrose With Normal Saline (5%+0.9%) (1000 ml),Infusion   ,100 ml,Dextrose-5%,1000 ml,41,4.1
4,Stadmed Pvt Ltd,Dextrose (5%) (540 ml),Infusion   ,100 ml,Dextrose-5%,540 ml,26.75,4.95
5,Parenteral Drugs (India) Ltd.,Dextrose With Normal Saline (5%+0.9%) (500 ml),Infusion   ,100 ml,Dextrose-5%,500 ml,31,6.2
6,Parenteral Drugs (India) Ltd.,5% Dextrose (250 ml),Infusion   ,250 ml,Dextrose-5%,250 ml,15.4,15.4
7,AXA Parenterals Ltd,5D (500 ml),Infusion   ,500 ml,Dextrose-5%,500 ml,17.68,17.68
8,Albert David Limited,Dextrose (5%) (500 ml),Infusion   ,500 ml,Dextrose-5%,500 ml,21.8,21.8
9,Albert David Limited,5% Dextrose With Normal aline (500 ml),Infusion   ,500 ml,Dextrose-5%,500 ml,28.5,28.5
10,Parenteral Drugs (India) Ltd.,5% Dextrose (500 ml) (Parenteral Drugs),Infusion   ,500 ml,Dextrose-5%,500 ml,31,31
11,Albert David Limited,5% Dextrose (500 ml),Infusion   ,500 ml,Dextrose-5%,500 ml,33.5,33.5
12,Parenteral Drugs (India) Ltd.,5% Dextrose (1000 ml),Infusion   ,1000 ml,Dextrose-5%,1000 ml,41,41
