S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Radicura Pharmaceutical Pvt. Ltd.,Rifaplus Forte (300+600),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-600 mg,,53.66,5.37
,,,,,,,,
2,Overseas Health Care Pvt. Ltd.,Bicox (300+600),Tablet    ,1 Tablet,Rifampicin-600 mg+Isoniazid-300 mg,,55.19,5.52
,,,,,,,,
3,Intas Laboratories Pvt Ltd,Rifania (300+600),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-600 mg,,60,6
,,,,,,,,
4,Elikem Pharmaceuticals Pvt. Ltd.,Ripim Plus (600+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-600 mg,,60,6
,,,,,,,,
5,Lupin Laboratories Ltd.,R Cinex Tab (300+600),Tablet    ,1 Tablet,Rifampicin-600 mg+Isoniazid-300 mg,,19.41,6.47
,,,,,,,,
6,Novartis India Ltd,Rimactazid Plus (600+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-600 mg,,25.9,6.48
,,,,,,,,
7,Rextar (Ranbaxy Laboratories Ltd),Tibirim INH Forte (600+300),Tablet    ,1 Tablet,Rifampicin-600 mg+Isoniazid-300 mg,,21.06,7.02
,,,,,,,,
8,Macleods Pharmaceuticals Pvt Ltd.,Macox Plus (600+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-600 mg,,42.18,7.03
,,,,,,,,
9,Lupin Laboratories Ltd.,R Cinex (300+600),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-600 mg,,19.41,6.47
,,,,,,,,
10,Lupin Laboratories Ltd.,Rcinex (300+600),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-600 mg,,21.4,7.13
,,,,,,,,
